,Sep 2006,Sep 2007,Sep 2009,Mar 2011,Mar 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,25.05,19.06,5.56,6.55,0.84,0.38,0.01,0.00,0.05,0.06
Expenses +,22.38,18.01,8.39,5.16,2.22,3.43,1.22,0.70,2.62,0.77
Operating Profit,2.67,1.05,-2.83,1.39,-1.38,-3.05,-1.21,-0.70,-2.57,-0.71
OPM %,10.66%,5.51%,-50.90%,21.22%,-164.29%,-802.63%,"-12,100.00%",,"-5,140.00%","-1,183.33%"
Other Income +,1.83,2.82,3.64,0.63,0.22,2.15,0.19,0.01,1.90,0.66
Interest,1.24,1.36,0.07,0.40,0.05,0.01,0.01,0.01,0.32,0.00
Depreciation,2.09,1.56,0.56,1.29,0.90,0.73,0.23,0.58,0.01,0.01
Profit before tax,1.17,0.95,0.18,0.33,-2.11,-1.64,-1.26,-1.28,-1.00,-0.06
Tax %,107.69%,69.47%,216.67%,39.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-0.09,0.29,-0.21,0.20,-2.11,-1.64,-1.26,-1.28,-1.01,-0.06
EPS in Rs,,,-0.15,0.15,-1.42,-1.11,-0.85,-0.86,-0.68,-0.04
