,Sep 2010,Mar 2012,Mar 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,147,170,127,119,166,130,110,60,71,61,86,194,124
Expenses +,122,155,99,111,139,110,87,63,73,65,67,93,87
Operating Profit,25,15,28,8,28,20,23,-4,-2,-4,20,101,37
OPM %,17%,9%,22%,7%,17%,16%,21%,-6%,-3%,-6%,23%,52%,30%
Other Income +,0,16,3,25,4,8,-2,4,1,-30,0,-4,0
Interest,17,30,19,27,24,15,19,10,7,20,26,20,14
Depreciation,6,9,12,9,11,9,10,11,7,8,8,17,19
Profit before tax,3,-8,0,-3,-3,4,-8,-20,-15,-62,-14,59,5
Tax %,-2%,0%,0%,-45%,-31%,-5%,19%,5%,59%,-1%,29%,35%,
Net Profit,2,-8,-1,-5,-5,4,-7,-19,-6,-63,-10,38,-9
EPS in Rs,1.12,-3.20,-0.33,-3.05,-2.29,1.67,-2.51,-6.14,-1.97,-21.10,-4.03,13.59,-3.05
