,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,819","7,083","9,641","11,286","12,770","14,256","17,367","15,797","14,665","15,375","15,163","16,405","15,933"
Expenses +,"4,632","5,620","7,356","8,271","9,146","10,564","12,865","12,649","12,104","13,020","12,596","16,184","14,610"
Operating Profit,"1,187","1,463","2,284","3,015","3,624","3,691","4,502","3,148","2,561","2,355","2,567",222,"1,323"
OPM %,20%,21%,24%,27%,28%,26%,26%,20%,17%,15%,17%,1%,8%
Other Income +,13,-3,13,105,235,184,106,"-1,310",91,-134,138,208,70
Interest,34,35,41,27,10,59,153,204,302,363,141,143,173
Depreciation,171,228,332,261,435,487,912,"1,086",846,970,887,"1,659",927
Profit before tax,994,"1,196","1,925","2,832","3,415","3,329","3,543",547,"1,503",887,"1,676","-1,372",294
Tax %,12%,26%,30%,34%,28%,32%,28%,53%,59%,130%,27%,-10%,
Net Profit,877,888,"1,340","1,870","2,444","2,270","2,565",258,615,-270,"1,228","-1,509",85
EPS in Rs,19.33,19.43,29.36,40.96,53.47,50.17,56.63,5.56,13.40,-5.95,26.81,-33.62,1.50
