,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,981","2,820","2,924","2,934","3,182","3,798","4,385","4,639","5,235","5,360","4,264","6,046","7,300"
Expenses +,"2,728","2,842","2,834","2,784","3,014","3,631","4,162","4,372","4,887","5,077","4,024","5,698","6,858"
Operating Profit,253,-22,90,150,168,167,223,266,348,283,240,347,442
OPM %,8%,-1%,3%,5%,5%,4%,5%,6%,7%,5%,6%,6%,6%
Other Income +,36,22,36,18,-34,66,34,22,26,40,65,36,40
Interest,26,72,53,54,49,43,38,29,48,29,65,46,47
Depreciation,32,32,33,38,43,57,61,64,75,88,92,86,92
Profit before tax,231,-103,41,76,43,132,159,196,251,206,148,251,342
Tax %,31%,-1%,6%,3%,-18%,21%,23%,25%,17%,32%,32%,33%,
Net Profit,161,-105,39,78,54,106,123,144,190,144,101,168,241
EPS in Rs,17.90,-11.69,4.34,8.62,6.02,11.65,12.88,15.00,19.73,14.87,10.42,17.41,24.97
