,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,206,260,354,459,685,"1,016",998,"1,343","2,095","1,883","1,502","1,324","1,547"
Expenses +,202,263,331,407,582,844,869,"1,165","1,756","1,623","1,293","1,164","1,407"
Operating Profit,4,-3,23,52,102,172,128,177,339,260,209,160,140
OPM %,2%,-1%,6%,11%,15%,17%,13%,13%,16%,14%,14%,12%,9%
Other Income +,23,23,22,16,27,26,125,81,124,222,243,177,129
Interest,7,12,18,20,35,54,41,47,76,97,78,57,58
Depreciation,5,5,5,6,11,14,13,13,20,21,23,22,18
Profit before tax,14,3,22,41,84,130,200,198,367,364,350,258,194
Tax %,3%,38%,6%,16%,11%,31%,15%,23%,25%,35%,23%,25%,
Net Profit,14,2,21,35,75,95,170,153,276,237,270,193,146
EPS in Rs,11.70,1.60,17.87,29.38,62.92,80.08,143.48,129.45,232.56,200.32,227.90,163.09,123.34
