,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,153",639,316,269,306,355,497,607,"1,005","1,078",863,"1,428","1,594"
Expenses +,"1,032",589,275,231,274,320,456,536,878,951,742,"1,242","1,413"
Operating Profit,121,50,41,37,32,35,41,71,126,127,121,186,181
OPM %,10%,8%,13%,14%,11%,10%,8%,12%,13%,12%,14%,13%,11%
Other Income +,1,2,2,2,-14,1,2,3,5,6,3,6,7
Interest,13,17,15,13,12,11,12,12,11,12,9,9,15
Depreciation,19,23,25,22,29,23,24,24,30,51,52,67,73
Profit before tax,89,12,4,3,-22,2,7,38,90,69,63,116,100
Tax %,25%,27%,37%,36%,-3%,44%,30%,29%,29%,24%,25%,25%,
Net Profit,67,9,2,2,-23,1,5,27,67,52,49,90,77
EPS in Rs,2.43,0.28,0.08,0.08,-0.89,0.04,0.19,1.04,2.44,1.91,1.74,3.16,2.64
