,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,203,249,727,764,697,754,964,"1,403",866,"1,130",692,"1,117",940
Expenses +,118,182,535,543,492,555,726,"1,100",619,896,629,931,828
Operating Profit,85,68,192,221,204,198,238,303,247,234,62,186,112
OPM %,42%,27%,26%,29%,29%,26%,25%,22%,29%,21%,9%,17%,12%
Other Income +,6,10,37,15,12,17,10,14,11,47,17,12,21
Interest,7,26,36,46,44,84,86,99,92,80,70,50,40
Depreciation,2,2,6,7,10,15,15,15,15,17,12,10,11
Profit before tax,82,50,186,183,162,116,147,203,151,184,-3,138,82
Tax %,36%,28%,34%,36%,37%,46%,42%,24%,34%,46%,-22%,37%,
Net Profit,52,36,124,117,102,62,85,154,99,100,-5,85,53
EPS in Rs,6.32,4.50,14.18,12.15,8.62,7.77,11.51,16.03,9.95,9.55,-0.73,10.45,5.87
