,Mar 2010,Sep 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,358,-7,9,5,144,146,5,6,5,5,3,5,5
Expenses +,403,27,24,19,119,127,20,26,21,20,17,27,29
Operating Profit,-45,-34,-15,-15,25,19,-14,-20,-16,-15,-14,-22,-24
OPM %,-13%,,-157%,-331%,17%,13%,-279%,-339%,-304%,-313%,-503%,-425%,-442%
Other Income +,51,76,48,22,9,11,40,61,33,20,21,53,58
Interest,19,2,0,0,0,0,0,1,1,1,1,1,1
Depreciation,8,2,2,1,6,7,1,3,3,3,3,3,2
Profit before tax,-21,38,31,6,27,23,23,37,13,1,4,28,32
Tax %,0%,-43%,8%,25%,42%,32%,-5%,59%,31%,433%,-24%,7%,
Net Profit,-21,55,29,5,16,16,24,15,9,-2,5,26,25
EPS in Rs,-8.49,21.84,11.50,1.80,6.35,6.40,9.76,6.13,3.62,-0.93,1.85,10.24,10.15
