,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,376,"1,191","1,666","2,374","3,411","3,801","4,366","4,685","2,684","1,703","1,222","1,273"
Expenses +,327,919,"1,273","1,972","2,810","3,089","3,525","3,793","2,385","1,554","1,598","1,460"
Operating Profit,49,272,393,402,602,713,841,892,299,148,-376,-188
OPM %,13%,23%,24%,17%,18%,19%,19%,19%,11%,9%,-31%,-15%
Other Income +,3,14,37,16,131,22,2,9,-245,50,-1,1
Interest,10,45,115,174,258,321,487,598,747,694,755,986
Depreciation,3,8,26,46,72,84,99,112,132,200,198,211
Profit before tax,38,231,287,199,404,330,257,191,-825,-695,"-1,331","-1,383"
Tax %,28%,31%,42%,28%,30%,33%,42%,43%,33%,-0%,0%,-0%
Net Profit,28,161,166,144,285,220,148,110,-556,-696,"-1,330","-1,383"
EPS in Rs,14.92,64.22,62.54,10.06,15.87,12.11,8.16,6.04,-30.56,-20.95,-40.12,-41.72
