,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,80,99,115,110,153,173,206,218,202,289,384
Expenses +,71,89,103,105,144,164,195,209,192,275,367
Operating Profit,8,10,12,5,9,10,11,9,10,13,17
OPM %,11%,10%,10%,5%,6%,6%,6%,4%,5%,5%,4%
Other Income +,1,1,0,1,0,2,1,1,2,1,0
Interest,2,1,1,1,2,1,1,2,1,1,1
Depreciation,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,7,8,10,4,7,10,10,7,10,12,15
Tax %,34%,43%,34%,31%,25%,19%,15%,-3%,-2%,1%,
Net Profit,4,5,6,3,5,8,9,7,10,12,15
EPS in Rs,139.68,152.58,207.10,81.61,172.90,5.26,5.84,4.86,7.08,8.16,10.07
