,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,418","5,715","6,259","5,514","8,594","9,833","12,555","12,868","13,560","15,010","16,454"
Expenses +,"3,857","4,325","4,916","4,107","6,081","7,360","9,758","9,098","9,468","11,300","13,347"
Operating Profit,"1,561","1,390","1,344","1,407","2,513","2,473","2,797","3,771","4,091","3,710","3,108"
OPM %,29%,24%,21%,26%,29%,25%,22%,29%,30%,25%,19%
Other Income +,187,104,102,673,362,389,69,263,426,544,390
Interest,193,129,121,76,129,135,248,291,251,216,228
Depreciation,436,550,925,828,"1,215",899,"1,472","1,808","1,262","1,146","1,327"
Profit before tax,"1,119",815,401,"1,176","1,531","1,827","1,146","1,934","3,004","2,892","1,943"
Tax %,10%,3%,-6%,3%,13%,24%,11%,20%,24%,19%,
Net Profit,"1,004",787,426,"1,143","1,339","1,384","1,015","1,544","2,290","2,337","1,604"
EPS in Rs,288.18,225.97,122.37,328.13,384.38,397.32,288.86,425.67,633.54,646.31,444.03
