,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,358,436,478,465,416,384,350,271,288,344,326,358,423
Expenses +,329,395,440,450,407,354,335,305,349,377,322,381,437
Operating Profit,29,40,38,15,9,30,14,-34,-61,-34,4,-22,-14
OPM %,8%,9%,8%,3%,2%,8%,4%,-13%,-21%,-10%,1%,-6%,-3%
Other Income +,0,0,-2,6,2,1,1,1,-14,8,5,-6,-1
Interest,10,15,17,21,21,22,23,26,25,20,19,22,20
Depreciation,3,4,4,4,5,5,8,8,9,11,13,13,13
Profit before tax,17,21,16,-4,-15,4,-15,-67,-109,-56,-24,-64,-48
Tax %,30%,31%,30%,22%,29%,-23%,36%,32%,25%,32%,-110%,0%,
Net Profit,12,14,11,-3,-11,5,-10,-46,-82,-38,-50,-64,-48
EPS in Rs,2.06,2.56,1.95,-0.50,-1.87,0.93,-1.72,-8.10,-15.25,-7.03,-9.18,-8.89,-7.39
