,Sep 2009,Sep 2010,Sep 2011,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022
Share Capital +,67,67,68,71,71,71,71,71,71,71,71,71
Reserves,"2,714","3,212","3,748","4,304","5,046","6,732","7,619","8,228","8,978","9,421","10,278","11,539"
Borrowings +,1,0,0,0,25,25,0,0,0,0,4,182
Other Liabilities +,"5,489","6,038","6,341","5,915","5,433","5,157","5,448","6,037","6,309","6,368","7,604","8,317"
Total Liabilities,"8,271","9,318","10,158","10,290","10,576","11,986","13,138","14,336","15,358","15,860","17,958","20,109"
Fixed Assets +,927,985,"1,169","1,356","1,394","1,227","1,365","1,381","1,219","1,196","3,205","3,108"
CWIP,162,255,249,41,32,79,143,62,58,88,35,51
Investments,0,0,0,8,114,110,0,0,0,0,0,1
Other Assets +,"7,182","8,078","8,739","8,886","9,037","10,570","11,630","12,893","14,081","14,576","14,718","16,949"
Total Assets,"8,271","9,318","10,158","10,290","10,576","11,986","13,138","14,336","15,358","15,860","17,958","20,109"
