,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Sep 2012,Mar 2013
Sales +,239,242,194,174,239,210,449,170
Expenses +,173,195,174,139,178,185,390,144
Operating Profit,66,47,20,35,61,25,59,26
OPM %,28%,19%,10%,20%,26%,12%,13%,15%
Other Income +,3,1,1,2,1,1,6,1
Interest,14,16,18,25,23,26,47,12
Depreciation,9,10,11,11,11,11,16,5
Profit before tax,46,21,-8,1,27,-11,3,9
Tax %,31%,48%,24%,-220%,30%,20%,-70%,40%
Net Profit,32,11,-6,3,19,-9,4,5
EPS in Rs,70.61,23.69,-13.52,6.42,42.47,-20.38,9.90,12.09
