,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,687","2,011","2,485","3,113","3,674","4,905","5,688","6,401","7,357","8,344","8,865","10,634","10,759"
Expenses +,"1,411","1,645","2,123","2,700","3,248","4,038","4,687","5,392","6,237","6,868","6,920","8,580","9,266"
Operating Profit,275,366,362,413,427,866,"1,001","1,009","1,120","1,476","1,945","2,054","1,493"
OPM %,16%,18%,15%,13%,12%,18%,18%,16%,15%,18%,22%,19%,14%
Other Income +,125,154,167,162,176,227,110,115,82,102,230,146,161
Interest,41,58,88,93,81,71,45,55,55,65,59,52,79
Depreciation,27,29,40,52,71,93,101,143,193,253,275,304,314
Profit before tax,331,433,402,430,451,928,965,926,955,"1,260","1,842","1,844","1,261"
Tax %,11%,6%,4%,-1%,13%,19%,6%,31%,19%,9%,12%,9%,
Net Profit,296,407,384,435,392,752,905,638,774,"1,149","1,618","1,680","1,121"
EPS in Rs,247.21,340.02,321.01,364.10,32.75,62.02,74.61,52.77,63.61,94.26,132.57,137.63,91.31
