,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,728","8,019","11,131","16,080","27,392","28,487","31,578","26,489","29,066","32,838","33,498","38,654","41,024"
Expenses +,"3,766","5,047","6,346","9,078","19,498","20,313","21,476","20,858","22,689","25,855","25,028","28,397","30,236"
Operating Profit,"1,962","2,972","4,784","7,003","7,894","8,174","10,102","5,631","6,377","6,983","8,470","10,258","10,788"
OPM %,34%,37%,43%,44%,29%,29%,32%,21%,22%,21%,25%,27%,26%
Other Income +,353,702,-90,"-1,968",283,-42,610,-135,-258,382,"-3,449","-3,505","-3,302"
Interest,74,28,43,44,579,523,400,518,555,303,141,127,89
Depreciation,205,291,336,409,"1,195","1,038","1,265","1,500","1,753","2,053","2,080","2,144","2,308"
Profit before tax,"2,036","3,355","4,315","4,581","6,403","6,571","9,048","3,479","3,810","5,010","2,799","4,481","5,088"
Tax %,6%,9%,20%,15%,14%,14%,13%,26%,16%,16%,18%,24%,
Net Profit,"1,907","3,042","3,469","3,879","5,476","5,658","7,846","2,542","3,208","4,172","2,272","3,389","4,248"
EPS in Rs,8.77,12.83,14.40,15.17,21.92,18.89,29.03,8.73,11.11,15.69,12.10,13.64,17.11
