,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,408,501,752,568,210,205,218,322,261,212,160,160,168
Expenses +,735,508,556,677,473,454,376,396,455,361,244,277,304
Operating Profit,-327,-6,196,-109,-263,-250,-158,-74,-194,-150,-84,-117,-136
OPM %,-80%,-1%,26%,-19%,-126%,-122%,-73%,-23%,-74%,-71%,-52%,-73%,-81%
Other Income +,145,330,204,"1,084",828,765,274,179,200,135,41,56,100
Interest,8,67,98,82,26,43,23,10,4,1,1,0,0
Depreciation,30,32,33,43,45,41,33,30,26,25,19,12,12
Profit before tax,-220,225,269,850,493,432,61,65,-24,-40,-62,-74,-49
Tax %,10%,28%,53%,6%,13%,24%,62%,82%,-47%,-17%,-3%,-1%,
Net Profit,-135,266,229,865,426,328,23,12,-35,-46,-63,-56,-32
EPS in Rs,-29.69,57.30,49.36,188.70,92.61,71.08,5.02,2.62,-7.65,-9.99,-13.74,-11.54,-5.14
