,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,997","3,147","3,474","3,741","3,905","4,131","4,427","4,527","4,959","4,861","4,984","5,221","5,505"
Expenses +,"1,863","2,035","2,255","2,342","2,354","2,520","2,693","2,716","2,814","2,633","2,515","2,723","3,132"
Operating Profit,"1,134","1,111","1,219","1,399","1,551","1,612","1,734","1,811","2,145","2,229","2,469","2,499","2,373"
OPM %,38%,35%,35%,37%,40%,39%,39%,40%,43%,46%,50%,48%,43%
Other Income +,155,352,460,674,348,189,93,91,176,177,132,134,173
Interest,0,0,0,0,0,0,0,0,0,47,19,12,9
Depreciation,41,47,66,72,68,53,70,61,54,106,104,93,82
Profit before tax,"1,248","1,417","1,613","2,001","1,831","1,748","1,757","1,840","2,267","2,252","2,477","2,528","2,454"
Tax %,11%,36%,33%,32%,35%,40%,33%,33%,39%,35%,29%,25%,
Net Profit,"1,111",909,"1,075","1,359","1,192","1,049","1,185","1,237","1,386","1,462","1,762","1,889","1,809"
EPS in Rs,132.42,108.28,127.89,161.55,140.91,123.61,139.28,144.82,161.57,170.26,204.72,219.00,209.49
