,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,20,16,27,68,116,145,53,33,48,48,55,64,53
Expenses +,20,12,24,56,86,129,56,43,54,71,50,72,67
Operating Profit,1,4,3,12,30,16,-3,-10,-6,-23,5,-9,-14
OPM %,3%,24%,11%,18%,26%,11%,-6%,-30%,-13%,-48%,9%,-14%,-26%
Other Income +,2,-0,9,1,3,8,7,2,3,4,4,2,3
Interest,0,3,0,0,0,0,0,1,6,5,9,18,23
Depreciation,0,1,1,1,1,1,1,1,0,0,0,0,0
Profit before tax,2,-0,11,13,32,23,3,-10,-9,-25,-0,-25,-34
Tax %,6%,-655%,33%,38%,33%,29%,28%,26%,18%,21%,-476%,22%,
Net Profit,2,-1,8,8,22,17,2,-7,-7,-20,-2,-19,-26
EPS in Rs,3.54,-1.58,14.74,15.16,34.30,26.36,3.52,-11.84,-11.48,-31.02,-3.10,-30.69,-41.59
