,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,472,445,752,"1,050","1,499","1,241","1,748","1,763"
Expenses +,438,378,646,901,"1,308","1,106","1,490","1,525"
Operating Profit,35,67,106,149,191,135,258,237
OPM %,7%,15%,14%,14%,13%,11%,15%,13%
Other Income +,10,13,18,22,24,17,22,23
Interest,3,8,9,10,15,15,26,32
Depreciation,7,8,11,24,27,26,32,38
Profit before tax,35,65,102,137,173,111,222,190
Tax %,37%,36%,36%,35%,26%,25%,25%,
Net Profit,23,42,66,89,128,81,167,141
EPS in Rs,71.34,14.41,18.20,24.84,35.69,22.65,46.29,39.22
