,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,873","2,102","2,214","2,459","2,402","2,204","2,079","2,263","2,699","2,711","3,474","5,281","6,566"
Expenses +,"1,607","1,997","2,016","2,161","2,091","1,911","1,791","2,006","2,295","2,320","3,038","4,579","5,802"
Operating Profit,265,105,198,299,311,293,288,257,404,391,436,702,764
OPM %,14%,5%,9%,12%,13%,13%,14%,11%,15%,14%,13%,13%,12%
Other Income +,100,74,95,28,59,7,100,80,-137,8,-194,52,54
Interest,86,111,126,150,157,180,210,210,235,228,208,195,229
Depreciation,56,57,56,56,71,67,67,62,59,57,90,115,118
Profit before tax,223,12,112,120,144,52,111,65,-26,114,-56,444,472
Tax %,27%,-146%,21%,32%,19%,32%,30%,-2%,70%,25%,-72%,22%,
Net Profit,180,-26,-23,-15,-116,-27,144,124,39,161,-91,348,358
EPS in Rs,5.50,-0.83,-0.73,-0.46,-3.25,-0.77,4.04,3.47,0.94,3.72,-2.11,5.84,6.62
