,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,143,115,122,156,171,145,162,152,163,86,8
Expenses +,113,96,104,133,140,128,139,136,150,183,27
Operating Profit,30,19,17,23,31,17,23,16,13,-97,-19
OPM %,21%,16%,14%,15%,18%,12%,14%,10%,8%,-113%,-255%
Other Income +,3,2,-5,-0,0,0,-1,0,0,5,0
Interest,11,14,14,14,23,23,20,18,16,9,4
Depreciation,4,4,5,6,6,6,7,8,7,10,6
Profit before tax,19,2,-6,3,3,-12,-4,-10,-10,-110,-29
Tax %,8%,61%,-33%,28%,7%,-6%,16%,-5%,0%,3%,
Net Profit,17,1,-9,2,3,-13,-3,-10,-10,-108,-29
EPS in Rs,12.82,0.65,-6.80,1.50,2.01,-8.27,-2.21,-6.18,-6.45,-66.82,-18.06
