,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,46,59,96,69,54,141,169,108,168,128,159,127,132
Expenses +,43,55,84,50,47,113,134,74,117,81,93,67,79
Operating Profit,2,4,11,19,7,28,35,34,51,47,66,60,54
OPM %,5%,7%,12%,27%,14%,20%,21%,32%,30%,37%,42%,47%,41%
Other Income +,6,7,8,5,5,8,5,5,6,7,8,10,14
Interest,2,2,2,3,2,5,3,2,2,1,1,1,1
Depreciation,0,0,0,0,1,1,1,0,0,1,1,1,1
Profit before tax,6,9,17,20,10,30,37,37,54,53,73,68,65
Tax %,53%,43%,42%,35%,35%,34%,36%,31%,29%,25%,26%,26%,
Net Profit,3,5,10,14,6,20,24,25,38,39,54,51,48
EPS in Rs,2.95,5.05,9.70,14.64,6.60,20.92,23.21,24.74,37.38,39.98,55.33,51.66,49.25
