,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,251","2,798","3,820","4,699","1,024","1,393","1,538","1,496","1,758","1,685","1,491","2,714","3,307"
Expenses +,"2,211","2,713","3,727","4,640",974,"1,333","1,465","1,450","1,657","1,603","1,424","2,558","3,105"
Operating Profit,40,86,93,59,50,61,73,46,100,82,67,155,202
OPM %,2%,3%,2%,1%,5%,4%,5%,3%,6%,5%,4%,6%,6%
Other Income +,47,16,17,60,24,24,30,47,51,44,36,40,33
Interest,43,30,34,40,23,21,35,38,43,53,47,61,57
Depreciation,23,25,27,29,16,17,19,23,26,42,44,48,49
Profit before tax,22,47,49,51,34,47,49,32,83,31,11,86,129
Tax %,-6%,17%,38%,13%,29%,23%,15%,29%,19%,30%,-54%,18%,
Net Profit,23,39,30,44,24,37,42,23,67,22,17,70,108
EPS in Rs,10.04,14.54,10.98,17.84,11.57,16.92,18.75,11.12,31.06,9.95,7.97,31.46,47.58
