,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,013","1,847","1,923","2,224","2,395","2,474","2,646","2,963","3,783","3,520","3,177","3,585","3,962"
Expenses +,433,433,514,716,718,"1,253",874,959,"1,176","1,248","1,111","1,306","1,357"
Operating Profit,"1,581","1,414","1,409","1,508","1,678","1,221","1,772","2,004","2,607","2,272","2,065","2,279","2,605"
OPM %,78%,77%,73%,68%,70%,49%,67%,68%,69%,65%,65%,64%,66%
Other Income +,46,80,72,87,99,677,181,165,242,260,306,256,302
Interest,2,6,5,3,2,2,1,1,2,13,27,33,11
Depreciation,480,474,442,478,615,497,400,450,663,700,404,306,520
Profit before tax,"1,144","1,014","1,035","1,113","1,159","1,399","1,551","1,718","2,185","1,819","1,941","2,195","2,376"
Tax %,33%,33%,32%,33%,32%,34%,34%,34%,34%,24%,21%,25%,
Net Profit,764,691,712,757,796,922,"1,031","1,136","1,434","1,385","1,525","1,642","1,783"
EPS in Rs,19.53,17.58,18.01,18.98,19.84,23.39,26.14,28.80,36.37,35.15,38.70,41.66,45.23
