,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,511,546,546,557,607,739,455,788,848
Expenses +,340,357,376,423,468,607,355,618,674
Operating Profit,171,189,170,134,139,132,100,171,173
OPM %,34%,35%,31%,24%,23%,18%,22%,22%,20%
Other Income +,13,20,3,2,22,39,4,27,42
Interest,21,16,9,6,4,7,3,4,6
Depreciation,21,21,22,23,27,26,23,21,22
Profit before tax,142,171,142,107,130,138,79,173,188
Tax %,30%,34%,35%,35%,37%,25%,31%,28%,
Net Profit,99,110,83,64,71,103,54,125,137
EPS in Rs,14.82,16.49,12.55,9.56,10.74,15.54,8.16,18.82,20.64
