,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,229,263,275,246,200,214,256,400,315,583,686
Expenses +,222,249,265,257,191,203,243,392,312,567,668
Operating Profit,7,14,10,-12,9,11,13,7,3,16,19
OPM %,3%,5%,4%,-5%,5%,5%,5%,2%,1%,3%,3%
Other Income +,0,0,0,1,0,0,0,0,0,0,0
Interest,2,3,3,4,3,2,2,2,2,2,3
Depreciation,2,2,3,2,1,1,1,1,1,1,2
Profit before tax,3,9,4,-16,5,8,11,4,-0,14,15
Tax %,39%,34%,42%,0%,-6%,5%,32%,44%,"-1,580%",32%,
Net Profit,2,6,2,-16,6,8,7,2,-1,9,10
EPS in Rs,38.60,188.60,19.97,-30.98,11.18,5.52,5.02,1.46,-0.60,6.46,6.94
