,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,504,637,"1,016","1,360","1,210","1,341","1,879","2,150"
Expenses +,472,598,956,"1,286","1,150","1,270","1,778","2,053"
Operating Profit,32,40,60,75,59,71,101,96
OPM %,6%,6%,6%,6%,5%,5%,5%,4%
Other Income +,1,2,1,1,1,1,1,-4
Interest,17,20,27,30,30,32,36,41
Depreciation,6,7,4,5,7,8,10,10
Profit before tax,10,15,30,41,24,31,55,41
Tax %,35%,30%,30%,33%,15%,26%,27%,
Net Profit,6,10,21,27,20,23,40,30
EPS in Rs,6.31,10.08,20.40,25.56,18.66,20.35,32.87,24.66
