,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,97,136,136,129,110,165,190,177,50
Expenses +,93,117,119,144,109,129,155,124,90
Operating Profit,4,19,17,-14,1,37,35,53,-40
OPM %,4%,14%,12%,-11%,1%,22%,18%,30%,-82%
Other Income +,15,8,13,11,20,3,-20,2,-102
Interest,7,8,15,15,13,20,35,42,47
Depreciation,-4,3,6,7,6,14,18,17,13
Profit before tax,15,15,10,-25,2,5,-38,-4,-202
Tax %,0%,2%,8%,26%,42%,28%,20%,-27%,-3%
Net Profit,15,15,9,-19,1,3,-31,-5,-209
EPS in Rs,,8.11,4.87,-10.40,0.73,1.82,-16.90,-2.80,-114.89
