,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,427,421,354,269,275,228,190,195,263,260,204,176,171
Expenses +,646,561,512,593,567,307,727,318,275,299,274,261,283
Operating Profit,-219,-140,-158,-324,-292,-79,-537,-123,-12,-39,-70,-85,-111
OPM %,-51%,-33%,-45%,-120%,-106%,-34%,-283%,-63%,-5%,-15%,-35%,-49%,-65%
Other Income +,-26,35,22,353,40,-136,47,48,245,271,58,702,723
Interest,232,284,328,262,291,53,62,66,67,65,84,74,64
Depreciation,15,16,14,13,12,10,11,10,9,10,10,10,9
Profit before tax,-492,-405,-478,-246,-556,-278,-562,-151,156,157,-105,533,539
Tax %,-0%,-0%,-0%,-8%,-0%,-0%,3%,0%,0%,1%,-4%,0%,
Net Profit,-493,-405,-480,-265,-557,-278,-544,-151,155,156,-110,533,539
EPS in Rs,-6.48,-5.33,-6.32,-3.48,-4.63,-2.31,-4.52,-1.26,4.36,4.38,-3.09,14.97,15.13
