,Mar 2006,Mar 2007,Mar 2008,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,88,112,117,521,499,543,625,286,13,13,12,17
Expenses +,77,96,105,361,398,414,427,300,128,93,134,112
Operating Profit,11,16,13,159,102,129,198,-14,-116,-80,-122,-95
OPM %,13%,15%,11%,31%,20%,24%,32%,-5%,-917%,-593%,"-1,032%",-573%
Other Income +,1,1,3,9,19,21,23,27,14,8,5,7
Interest,2,3,5,5,6,6,5,2,1,1,1,0
Depreciation,3,4,4,12,18,21,21,11,4,4,4,6
Profit before tax,6,11,6,152,98,123,196,0,-106,-77,-122,-94
Tax %,2%,-5%,-32%,28%,26%,29%,37%,"15,038%",11%,7%,0%,
Net Profit,6,11,8,109,72,87,124,-24,-94,-72,-122,-94
EPS in Rs,,0.65,0.48,5.70,3.76,4.57,6.48,-1.25,-4.94,-3.78,-5.59,-4.52
