,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,330","2,866","2,160","2,733","3,447","4,066","4,498","4,975","5,240","3,487","2,243","1,908","2,092"
Expenses +,"1,992","2,450","1,829","2,290","2,861","3,064","3,302","3,493","3,759","2,342","1,645","2,255","2,407"
Operating Profit,337,417,331,443,586,"1,002","1,196","1,481","1,481","1,145",598,-348,-315
OPM %,14%,15%,15%,16%,17%,25%,27%,30%,28%,33%,27%,-18%,-15%
Other Income +,24,26,163,152,56,107,154,114,319,"1,873",377,755,334
Interest,142,156,304,452,617,"1,075","1,191","1,313","1,329","1,411","1,003",975,946
Depreciation,79,86,171,130,223,233,321,358,392,401,211,167,158
Profit before tax,141,200,18,12,-198,-199,-162,-76,79,"1,206",-239,-735,"-1,085"
Tax %,45%,40%,237%,-118%,-17%,-11%,-6%,-50%,168%,8%,1%,1%,
Net Profit,77,117,-30,26,-235,-221,-172,-114,-54,"1,106",-237,-728,"-1,094"
EPS in Rs,6.19,8.13,0.50,2.93,-10.23,-6.02,-3.15,-0.18,1.23,46.21,-9.03,-42.18,-57.25
