,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,191,174,172,177,170,162,212,228,207,158,118,225,305
Expenses +,170,150,142,146,145,142,183,200,177,132,102,184,260
Operating Profit,21,24,29,31,25,20,29,28,29,26,16,41,45
OPM %,11%,14%,17%,18%,15%,13%,14%,12%,14%,16%,13%,18%,15%
Other Income +,39,62,19,13,5,4,4,21,4,5,8,11,12
Interest,3,0,1,1,1,1,0,0,0,1,2,0,0
Depreciation,13,10,9,8,10,10,11,11,11,9,12,8,7
Profit before tax,43,76,39,36,19,13,23,37,22,21,9,43,50
Tax %,1%,1%,19%,16%,18%,21%,15%,10%,19%,36%,-40%,-14%,
Net Profit,43,75,31,30,16,10,19,33,18,14,12,49,55
EPS in Rs,9.22,15.58,6.42,7.46,3.92,2.55,4.84,8.24,4.57,3.36,3.01,11.96,13.27
