,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,290,378,427,409,420,463,402,435,370,57,27,113,150
Expenses +,249,327,371,384,390,426,364,381,379,115,105,147,186
Operating Profit,41,51,56,26,30,37,39,54,-9,-58,-78,-34,-35
OPM %,14%,13%,13%,6%,7%,8%,10%,12%,-2%,-103%,-294%,-30%,-23%
Other Income +,3,4,6,3,2,2,1,2,6,-125,-35,-30,-30
Interest,5,4,12,12,15,18,20,30,33,33,11,14,16
Depreciation,1,2,4,6,5,5,5,4,4,7,3,2,2
Profit before tax,38,49,47,10,12,16,14,22,-40,-224,-128,-80,-84
Tax %,33%,31%,31%,37%,31%,29%,38%,34%,35%,-7%,-0%,-0%,
Net Profit,26,34,32,7,8,11,9,14,-26,-239,-128,-80,-84
EPS in Rs,24.44,32.41,30.85,6.31,7.83,10.81,8.23,13.78,-24.45,-227.53,-121.88,-76.27,-79.84
