,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,262","2,622","3,092","2,564","3,097","2,144","2,449","3,177","5,087","5,154","4,825","5,754","6,280"
Expenses +,"1,996","2,426","2,865","2,287","2,634","1,685","1,929","2,431","3,968","4,093","4,018","5,219","5,956"
Operating Profit,266,195,227,277,463,459,519,746,"1,120","1,061",807,535,324
OPM %,12%,7%,7%,11%,15%,21%,21%,23%,22%,21%,17%,9%,5%
Other Income +,15,20,11,21,49,10,20,38,37,-16,58,94,91
Interest,45,92,106,180,327,119,123,104,105,221,203,241,282
Depreciation,56,72,89,133,185,126,159,182,195,290,285,326,345
Profit before tax,179,52,43,-15,0,225,257,497,856,533,377,62,-212
Tax %,21%,25%,43%,-160%,"3,355%",29%,15%,27%,32%,20%,30%,24%,
Net Profit,141,39,24,-40,-4,160,218,364,578,424,265,47,-148
EPS in Rs,3.96,1.01,0.64,-0.90,-0.07,3.89,5.06,8.34,13.98,10.74,6.95,1.56,-3.41
