,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,544,683,695,748,706,669,695,588,636,527,472,720,686
Expenses +,444,586,583,629,616,581,616,525,565,481,423,665,641
Operating Profit,100,97,113,119,90,88,79,63,71,45,48,55,46
OPM %,18%,14%,16%,16%,13%,13%,11%,11%,11%,9%,10%,8%,7%
Other Income +,91,121,65,51,23,18,21,26,-123,35,112,27,30
Interest,4,3,3,3,2,83,78,52,34,25,16,4,1
Depreciation,17,18,18,18,23,18,17,18,18,15,14,13,13
Profit before tax,170,197,157,149,87,5,5,18,-104,40,130,66,61
Tax %,25%,30%,32%,33%,34%,366%,465%,106%,-4%,17%,29%,20%,
Net Profit,127,137,107,100,52,-14,-18,-1,-108,34,93,53,46
EPS in Rs,7.14,7.70,5.98,5.58,2.94,-0.79,-1.02,-0.11,-6.06,1.88,5.19,2.95,2.55
