,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,451","6,358","6,751","6,560","7,694","8,241","7,099","7,255","8,885","9,698","8,281","12,812","18,342"
Expenses +,"5,049","5,953","6,163","5,992","6,840","7,766","6,680","6,986","8,448","9,111","7,527","11,820","16,906"
Operating Profit,402,405,588,568,853,475,419,268,437,586,754,992,"1,435"
OPM %,7%,6%,9%,9%,11%,6%,6%,4%,5%,6%,9%,8%,8%
Other Income +,135,165,93,73,66,81,66,61,104,26,133,263,168
Interest,69,53,134,137,123,147,96,64,157,239,181,130,188
Depreciation,113,143,176,145,263,148,141,137,156,171,175,184,194
Profit before tax,354,374,372,359,533,262,249,128,229,202,530,942,"1,222"
Tax %,31%,33%,27%,33%,35%,35%,28%,39%,42%,-3%,28%,25%,
Net Profit,245,249,273,241,346,169,179,79,133,207,384,702,938
EPS in Rs,4.44,4.51,4.95,4.37,6.27,3.06,3.25,1.43,2.41,3.75,6.96,12.73,17.01
