,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,067","4,394","5,826","7,425","8,447","9,943","8,087","6,953","7,691","8,265"
Expenses +,"3,827","4,105","5,510","7,017","7,992","9,574","7,982","6,821","7,483","7,980"
Operating Profit,240,289,317,408,455,369,105,133,207,286
OPM %,6%,7%,5%,5%,5%,4%,1%,2%,3%,3%
Other Income +,134,147,98,84,163,207,207,180,121,19
Interest,24,41,3,31,28,3,8,15,9,4
Depreciation,1,2,2,5,6,4,6,6,5,5
Profit before tax,349,393,409,454,584,569,297,292,315,295
Tax %,26%,29%,29%,28%,32%,31%,66%,18%,24%,
Net Profit,257,278,289,326,396,392,100,240,238,221
EPS in Rs,1.43,1.55,1.61,1.97,2.10,2.08,0.43,1.25,1.25,1.16
