,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"15,438","19,489","22,407","26,519","31,571","35,949","35,576","28,279","37,092","44,958","41,952","38,516","40,982"
Expenses +,"11,680","14,440","16,439","18,237","20,771","24,281","25,348","22,224","32,976","30,042","25,006","22,547","24,090"
Operating Profit,"3,758","5,048","5,969","8,282","10,800","11,668","10,227","6,054","4,116","14,916","16,946","15,969","16,891"
OPM %,24%,26%,27%,31%,34%,32%,29%,21%,11%,33%,40%,41%,41%
Other Income +,160,44,131,247,497,641,746,703,"1,789","-36,964","-19,563",363,220
Interest,524,"1,056","1,045",966,"1,060","1,803","4,010","4,847","9,545","15,393","17,998","20,981","22,671"
Depreciation,"2,397","2,981","3,478","4,519","5,304","6,256","7,827","8,409","14,536","24,356","23,638","23,584","23,112"
Profit before tax,997,"1,055","1,577","3,044","4,933","4,250",-863,"-6,499","-18,175","-61,797","-44,253","-28,234","-28,672"
Tax %,10%,31%,36%,35%,35%,36%,54%,36%,20%,-20%,0%,-0%,
Net Profit,899,723,"1,011","1,968","3,193","2,728",-400,"-4,168","-14,604","-73,878","-44,233","-28,245","-28,686"
EPS in Rs,0.83,0.66,0.93,1.80,2.70,2.30,-0.34,-2.91,-5.08,-25.71,-15.39,-8.79,-9.19
