,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,77,469,680,652,489,688,712,727,19,28,17,13
Expenses +,71,416,606,584,423,584,603,654,20,28,18,13
Operating Profit,6,54,74,67,66,105,110,72,-1,0,-1,-1
OPM %,8%,11%,11%,10%,13%,15%,15%,10%,-4%,0%,-3%,-4%
Other Income +,1,11,8,9,7,122,-9,-277,-6,-5,-393,-388
Interest,3,8,10,12,12,18,16,27,2,2,3,2
Depreciation,2,15,21,28,33,39,41,37,1,1,3,3
Profit before tax,3,41,51,37,28,170,44,-269,-10,-8,-400,-393
Tax %,21%,10%,11%,12%,20%,0%,11%,0%,-1%,-1%,0%,
Net Profit,2,37,45,32,22,170,40,-287,-25,-22,-413,-413
EPS in Rs,0.39,5.85,6.50,4.29,2.73,13.28,3.92,-29.87,-2.64,-2.35,-43.61,-43.55
