,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,074","1,047","1,076","1,376","1,569","1,534","1,768","3,084","3,149"
Expenses +,988,966,957,"1,222","1,414","1,418","1,548","2,713","2,828"
Operating Profit,86,80,119,154,155,117,220,371,321
OPM %,8%,8%,11%,11%,10%,8%,12%,12%,10%
Other Income +,1,2,2,3,6,30,4,15,9
Interest,26,19,11,12,19,17,19,19,18
Depreciation,30,29,28,31,44,49,47,49,58
Profit before tax,31,34,82,113,98,81,158,318,253
Tax %,31%,22%,13%,33%,26%,13%,20%,19%,
Net Profit,21,27,72,76,72,70,127,256,213
EPS in Rs,21.12,26.56,71.50,75.63,14.46,15.57,4.82,9.72,8.04
