,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,009","3,040","3,700","4,422","4,884","5,812","6,434","6,686","7,934","8,130","7,730","8,189","8,310"
Expenses +,"2,180","2,291","2,743","3,215","3,624","4,386","4,711","4,605","5,370","6,870","6,123","6,471","6,781"
Operating Profit,829,749,957,"1,207","1,260","1,427","1,723","2,081","2,564","1,260","1,606","1,718","1,529"
OPM %,28%,25%,26%,27%,26%,25%,27%,31%,32%,15%,21%,21%,18%
Other Income +,101,128,144,178,222,183,"1,430",565,236,112,-29,-12,-85
Interest,9,5,9,16,10,160,137,145,130,145,57,45,59
Depreciation,29,32,40,50,67,78,115,182,235,271,265,246,286
Profit before tax,892,841,"1,052","1,319","1,404","1,373","2,901","2,319","2,434",956,"1,256","1,416","1,099"
Tax %,30%,30%,32%,33%,31%,40%,23%,36%,36%,45%,37%,32%,
Net Profit,625,591,717,890,972,824,"2,220","1,478","1,567",525,793,956,700
EPS in Rs,6.51,6.14,7.54,9.29,10.18,8.57,23.13,15.40,16.32,5.48,8.33,10.04,7.29
