,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,086","1,113","1,267","1,167","1,192","1,298","1,535","1,913","2,124","1,993","1,796","2,239","2,632"
Expenses +,"1,010","1,016","1,145","1,035","1,055","1,146","1,367","1,703","1,896","1,804","1,642","2,089","2,462"
Operating Profit,76,96,122,132,137,152,168,210,229,189,154,149,170
OPM %,7%,9%,10%,11%,11%,12%,11%,11%,11%,9%,9%,7%,6%
Other Income +,12,41,11,2,1,2,-24,6,6,62,11,9,9
Interest,15,26,36,37,39,42,48,41,42,36,16,11,8
Depreciation,41,53,73,77,79,87,88,92,79,90,92,102,107
Profit before tax,32,58,24,20,20,26,8,82,114,124,56,45,65
Tax %,11%,18%,17%,-5%,0%,9%,-63%,26%,33%,32%,16%,28%,
Net Profit,29,48,20,21,20,24,13,61,76,85,47,32,46
EPS in Rs,4.77,7.96,3.38,3.47,3.34,3.99,2.20,10.10,11.69,13.00,7.26,4.98,6.99
