,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,"2,403","3,467","4,832","5,089","6,527","9,377","12,498","16,418","12,436","11,481","13,984","16,571","18,297"
Expenses +,"2,286","3,293","4,561","4,762","6,043","8,787","11,622","15,225","11,573","10,401","13,208","15,872","17,664"
Operating Profit,117,174,271,327,484,590,876,"1,194",863,"1,080",776,699,633
OPM %,5%,5%,6%,6%,7%,6%,7%,7%,7%,9%,6%,4%,3%
Other Income +,2,12,6,3,3,104,83,10,9,29,175,259,319
Interest,53,63,62,137,218,254,406,546,797,973,772,721,676
Depreciation,3,7,20,34,45,56,29,37,38,47,81,75,74
Profit before tax,63,116,195,158,225,383,524,621,36,88,98,161,202
Tax %,15%,12%,11%,2%,10%,7%,6%,4%,1%,-1%,-8%,-3%,
Net Profit,54,102,175,155,202,357,490,595,36,87,105,167,198
EPS in Rs,8.61,15.55,18.89,17.70,,41.81,53.47,64.27,3.64,9.73,10.12,14.14,16.57
