,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,495,462,273,229,84,91,157,170,184,101,78,163,211
Expenses +,469,447,303,364,142,129,176,212,298,132,79,149,215
Operating Profit,25,15,-29,-135,-58,-37,-19,-42,-114,-31,-2,14,-4
OPM %,5%,3%,-11%,-59%,-69%,-41%,-12%,-25%,-62%,-30%,-2%,9%,-2%
Other Income +,17,22,19,-41,2,23,1,16,7,13,-6,9,13
Interest,24,32,35,21,9,10,9,8,7,5,3,7,3
Depreciation,5,5,5,7,6,6,6,7,6,6,3,3,2
Profit before tax,13,0,-51,-203,-71,-31,-33,-41,-120,-28,-14,13,3
Tax %,32%,407%,-0%,-0%,-0%,-5%,-0%,-0%,-0%,-0%,-0%,12%,
Net Profit,9,-1,-51,-203,-71,-33,-33,-41,-120,-28,-14,12,3
EPS in Rs,0.70,-0.06,-3.90,-15.50,-5.41,-2.49,-2.53,-3.13,-9.15,-2.16,-0.95,0.82,0.20
