,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,282,265,255,58,81,82,68,68,30,26,55,56,86
Expenses +,234,226,222,72,87,90,84,78,37,33,66,59,87
Operating Profit,47,39,33,-14,-7,-9,-16,-9,-7,-7,-11,-4,-0
OPM %,17%,15%,13%,-23%,-8%,-11%,-24%,-14%,-22%,-26%,-20%,-7%,-1%
Other Income +,14,8,16,196,24,25,39,45,19,27,99,25,23
Interest,5,5,7,5,11,10,6,2,1,1,2,2,2
Depreciation,4,5,6,3,4,3,3,3,3,2,3,5,5
Profit before tax,52,37,37,174,2,3,14,31,8,16,82,14,15
Tax %,35%,37%,33%,-1%,152%,-638%,-6%,23%,14%,18%,46%,41%,
Net Profit,34,23,25,176,-1,19,31,31,19,14,45,8,13
EPS in Rs,18.96,14.06,15.08,106.10,-0.66,13.98,22.91,24.87,15.12,10.73,35.22,6.93,11.35
