,Mar 2011,Sep 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,662,"1,004",245,514,564,537,525,493,643,550,678,933,"1,064"
Expenses +,625,903,242,473,517,497,509,450,576,507,583,793,927
Operating Profit,36,101,4,41,47,41,16,44,67,42,96,140,137
OPM %,6%,10%,1%,8%,8%,8%,3%,9%,10%,8%,14%,15%,13%
Other Income +,39,-21,11,15,21,40,12,12,-2,13,2,1,2
Interest,47,94,19,35,35,50,31,18,17,18,13,12,15
Depreciation,32,85,8,16,19,17,16,14,19,15,15,17,18
Profit before tax,-3,-100,-13,4,14,14,-19,24,29,22,69,112,107
Tax %,-87%,-8%,0%,0%,4%,4%,-4%,29%,42%,51%,29%,25%,
Net Profit,-6,-107,-13,1,14,13,-20,17,17,11,49,83,79
EPS in Rs,-8.77,-87.36,-10.30,0.78,11.58,10.83,-16.25,14.01,13.70,8.77,40.03,68.06,64.48
