,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"69,613","67,022","32,885","28,142","23,931","12,607","11,825","16,450","29,439","26,304","30,000","11,795","6,633"
Expenses +,"69,516","66,974","32,808","28,001","23,931","12,668","11,937","16,428","29,256","26,436","30,045","11,338","6,196"
Operating Profit,97,48,78,141,0,-62,-112,23,183,-132,-45,457,437
OPM %,0%,0%,0%,0%,0%,-0%,-1%,0%,1%,-0%,-0%,4%,7%
Other Income +,499,608,77,31,168,5,136,49,36,-8,-859,-126,"1,935"
Interest,399,593,253,87,40,31,23,18,68,144,203,225,232
Depreciation,14,14,17,17,24,6,7,5,6,6,6,5,5
Profit before tax,184,49,-116,67,105,-94,-6,48,146,-291,"-1,112",101,"2,135"
Tax %,39%,13%,46%,11%,26%,-3%,-435%,21%,25%,-0%,29%,360%,
Net Profit,26,57,-111,-18,-42,-97,-30,38,109,-292,-789,-262,"1,499"
EPS in Rs,0.17,0.38,-0.74,-0.12,-0.28,-0.64,-0.20,0.25,0.72,-1.94,-5.26,-1.75,10.00
