,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,233,316,216,187,293,682,799,424,324,325
Expenses +,208,375,216,187,291,668,786,423,326,331
Operating Profit,25,-60,0,0,2,15,13,1,-2,-7
OPM %,11%,-19%,0%,0%,1%,2%,2%,0%,-1%,-2%
Other Income +,3,63,16,5,2,-6,-4,4,1,-21
Interest,42,29,5,4,5,3,3,2,0,0
Depreciation,61,38,3,3,4,3,2,2,0,1
Profit before tax,-76,-63,9,-2,-4,3,4,1,-2,-28
Tax %,-2%,-3%,52%,-41%,47%,-2%,53%,23%,6%,3%
Net Profit,-77,-65,4,-2,-2,3,2,1,-2,-27
EPS in Rs,,-57.44,3.71,-1.87,-2.10,2.36,1.66,0.75,-1.77,-24.31
