,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,157,180,203,243,261,242,231,448,537
Expenses +,144,161,182,213,231,215,205,406,499
Operating Profit,13,19,21,30,29,27,26,42,38
OPM %,9%,11%,10%,12%,11%,11%,11%,9%,7%
Other Income +,0,1,5,1,6,3,3,5,4
Interest,6,7,4,4,3,2,2,4,4
Depreciation,2,2,2,2,2,3,5,6,7
Profit before tax,6,12,20,24,30,24,22,37,31
Tax %,37%,34%,28%,37%,26%,24%,22%,22%,
Net Profit,4,9,17,19,23,19,17,29,24
EPS in Rs,3.12,7.16,13.88,10.18,8.90,7.31,6.87,11.41,9.40
