,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,220,252,252,283,274,283,283,345,493,480,547,893,924
Expenses +,196,228,232,259,249,241,242,311,440,412,454,711,748
Operating Profit,24,23,20,23,25,42,41,33,52,68,92,182,176
OPM %,11%,9%,8%,8%,9%,15%,14%,10%,11%,14%,17%,20%,19%
Other Income +,2,1,2,1,1,1,2,7,2,1,2,2,3
Interest,9,12,14,15,14,15,11,9,11,13,13,15,17
Depreciation,6,6,7,8,7,7,7,8,9,12,14,16,17
Profit before tax,11,6,1,1,5,21,25,23,34,44,66,153,145
Tax %,38%,46%,344%,259%,65%,23%,26%,27%,22%,24%,20%,19%,
Net Profit,7,3,-2,-2,2,16,19,17,27,33,53,124,117
EPS in Rs,1.34,0.65,-0.44,-0.42,0.36,3.24,3.71,3.36,5.25,6.51,10.46,24.49,23.01
