,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,348,313,364,392,365,337,377,361,349,382,194,272,254
Expenses +,299,271,299,316,306,283,315,292,308,340,191,266,275
Operating Profit,50,42,65,76,60,54,62,69,41,42,3,6,-22
OPM %,14%,14%,18%,19%,16%,16%,16%,19%,12%,11%,1%,2%,-8%
Other Income +,0,0,0,0,2,2,7,6,2,2,1,1,1
Interest,29,29,27,25,19,23,40,51,54,57,55,72,79
Depreciation,16,14,14,16,10,10,19,23,23,24,23,23,23
Profit before tax,5,-1,24,34,33,24,10,1,-34,-37,-74,-88,-123
Tax %,2%,-4%,0%,18%,36%,30%,-14%,50%,29%,29%,17%,0%,
Net Profit,4,-1,24,28,21,16,12,0,-25,-26,-62,-88,-123
EPS in Rs,,,6.59,7.77,5.74,4.54,3.31,0.14,-6.76,-7.29,-16.99,-24.28,-33.77
