,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,37,44,43,51,56,55,60,72,101,124,70,88,88
Expenses +,31,40,43,47,53,54,58,68,96,124,71,91,95
Operating Profit,5,4,0,3,3,1,2,3,5,-0,-1,-3,-7
OPM %,14%,9%,1%,6%,5%,2%,3%,5%,4%,-0%,-1%,-4%,-8%
Other Income +,0,1,0,1,0,-2,0,1,0,1,2,34,4
Interest,0,1,0,1,1,3,4,5,5,6,6,4,4
Depreciation,2,2,1,1,1,2,2,2,4,7,5,4,5
Profit before tax,3,2,-1,2,2,-6,-4,-3,-4,-12,-10,22,-12
Tax %,0%,-51%,2%,-43%,20%,-23%,-15%,-18%,7%,-2%,31%,13%,
Net Profit,3,3,-1,2,1,-7,-4,-3,-3,-12,-7,19,-14
EPS in Rs,,,-1.84,3.82,1.90,-10.54,-6.74,-5.04,-5.15,-11.34,-6.18,17.76,-13.04
