,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,305,356,438,630,797,893,767,913,"1,000","1,134","1,376","1,491","1,667"
Expenses +,378,455,369,512,612,757,722,834,868,942,"1,037","1,232","1,392"
Operating Profit,-73,-100,69,118,185,136,45,78,132,192,340,259,275
OPM %,-24%,-28%,16%,19%,23%,15%,6%,9%,13%,17%,25%,17%,16%
Other Income +,-78,2,4,4,3,9,7,8,5,0,7,42,58
Interest,44,54,15,19,16,10,7,10,10,9,8,8,10
Depreciation,20,24,16,16,16,28,30,27,23,27,36,45,55
Profit before tax,-215,-175,44,86,156,107,15,50,104,157,302,248,267
Tax %,-3%,-1%,-12%,15%,28%,23%,24%,28%,23%,23%,21%,25%,
Net Profit,-222,-176,49,74,112,83,11,36,80,121,239,187,198
EPS in Rs,,,1.19,1.87,2.67,1.92,0.22,0.80,1.87,2.95,5.76,4.51,4.87
