,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,TTM
Sales +,648,980,"1,225","1,460","1,890","2,457","3,151","3,862","4,643","5,485","5,262"
Expenses +,593,887,"1,104","1,347","1,742","2,294","2,931","3,596","4,367","5,218","5,058"
Operating Profit,55,94,122,113,148,163,219,267,276,267,204
OPM %,8%,10%,10%,8%,8%,7%,7%,7%,6%,5%,4%
Other Income +,1,6,5,6,8,14,13,17,25,29,21
Interest,23,44,57,85,93,101,139,180,183,194,171
Depreciation,4,5,7,8,9,9,10,11,12,18,17
Profit before tax,29,51,63,26,55,67,84,92,106,83,37
Tax %,36%,35%,29%,18%,12%,19%,18%,19%,15%,14%,
Net Profit,19,33,45,21,50,54,68,76,90,73,33
EPS in Rs,0.36,2.71,3.23,1.71,3.69,3.74,4.60,3.80,4.65,3.80,1.67
