,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,376,365,425,559,300,375,455,608,798,773,419,616,"1,012"
Expenses +,188,264,330,408,233,244,293,360,482,486,397,477,653
Operating Profit,188,101,95,151,67,131,161,247,315,288,22,139,359
OPM %,50%,28%,22%,27%,22%,35%,36%,41%,40%,37%,5%,23%,35%
Other Income +,6,13,13,16,2,2,9,29,35,33,27,30,40
Interest,16,11,15,33,51,41,35,10,2,16,14,16,9
Depreciation,6,6,8,17,35,36,36,37,38,49,53,56,60
Profit before tax,172,96,85,117,-17,56,99,228,311,256,-18,98,331
Tax %,4%,30%,40%,44%,-64%,36%,28%,32%,37%,28%,-42%,30%,
Net Profit,165,67,49,64,-28,36,71,155,196,185,-26,68,259
EPS in Rs,8.21,2.24,1.29,1.55,-0.99,1.66,3.18,5.81,7.26,6.85,-0.90,2.51,9.66
