,Mar 2006,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,189,270,264,288,317,313,94,227,321
Expenses +,105,207,206,217,248,238,96,175,219
Operating Profit,84,63,58,72,69,74,-2,52,102
OPM %,45%,23%,22%,25%,22%,24%,-2%,23%,32%
Other Income +,1,2,8,3,7,1,3,1,27
Interest,4,31,29,25,22,23,20,19,17
Depreciation,11,18,18,17,17,17,17,16,15
Profit before tax,70,15,19,32,38,36,-36,19,97
Tax %,34%,46%,44%,34%,36%,34%,27%,47%,
Net Profit,46,4,4,20,27,28,-40,2,67
EPS in Rs,7.38,0.57,0.67,3.25,4.34,4.48,-6.37,0.33,10.63
