,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,18,214,556,853,"1,155","1,341","1,797","1,529",880,"1,335","1,621"
Expenses +,21,200,493,739,952,"1,137","1,545","1,272",743,"1,122","1,327"
Operating Profit,-3,15,63,115,203,204,251,257,136,213,294
OPM %,-17%,7%,11%,13%,18%,15%,14%,17%,15%,16%,18%
Other Income +,1,2,7,7,11,25,36,25,29,13,12
Interest,1,4,15,32,42,40,49,65,70,67,78
Depreciation,0,2,9,16,65,67,89,114,90,99,127
Profit before tax,-3,11,46,74,106,122,149,103,5,60,100
Tax %,-18%,62%,31%,34%,35%,35%,35%,12%,66%,27%,
Net Profit,-4,4,32,49,69,80,97,91,2,44,74
EPS in Rs,-12.10,10.21,64.85,84.84,17.16,11.72,14.33,13.41,0.23,6.48,10.92
