,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,475","4,437","5,079","5,843","7,007",941,"1,921","2,873","3,257","1,701","1,696","3,060","3,550"
Expenses +,"3,668","3,754","4,338","4,898","5,824",735,"1,651","2,585","2,881","2,052","1,559","2,667","3,293"
Operating Profit,807,682,741,945,"1,182",206,270,288,376,-350,137,393,258
OPM %,18%,15%,15%,16%,17%,22%,14%,10%,12%,-21%,8%,13%,7%
Other Income +,60,39,24,81,75,594,97,149,119,40,-366,109,153
Interest,109,136,173,289,283,68,93,114,226,748,795,813,854
Depreciation,149,168,205,255,261,73,132,142,232,284,282,262,262
Profit before tax,609,418,387,481,713,660,142,180,38,"-1,342","-1,306",-573,-705
Tax %,25%,28%,17%,25%,26%,5%,5%,21%,43%,6%,-0%,-0%,
Net Profit,460,307,324,365,529,629,134,142,22,"-1,256","-1,306",-574,-707
EPS in Rs,14.38,9.59,8.82,9.94,10.58,12.01,2.46,2.39,0.36,-21.15,-21.80,-9.58,-11.80
