,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,322","1,718","2,055","2,057","2,316","2,635","2,922","3,748","4,316","4,364","4,727","5,420","5,913"
Expenses +,"1,131","1,390","1,626","1,755","1,963","2,362","2,552","3,317","3,863","3,566","3,789","4,469","4,994"
Operating Profit,191,328,429,302,353,273,370,432,454,798,939,951,919
OPM %,14%,19%,21%,15%,15%,10%,13%,12%,11%,18%,20%,18%,16%
Other Income +,33,24,39,26,-34,64,129,72,59,16,35,41,33
Interest,85,80,84,77,94,222,244,264,253,225,192,142,139
Depreciation,60,130,149,135,115,166,175,207,211,220,225,223,227
Profit before tax,79,143,235,115,109,-51,79,32,49,369,556,626,586
Tax %,25%,24%,25%,19%,4%,108%,-10%,-33%,17%,31%,24%,24%,
Net Profit,59,109,175,94,105,4,87,43,41,253,421,478,431
EPS in Rs,4.83,8.89,14.87,7.98,8.75,0.11,7.29,4.69,4.36,21.08,34.45,39.39,35.70
