,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,148,317,612,763,800,948,"1,242","1,565","1,831","2,015","2,553","2,964"
Expenses +,130,267,541,690,684,843,"1,097","1,412","1,661","1,809","2,344","2,806"
Operating Profit,18,50,71,72,117,104,145,153,170,205,209,158
OPM %,12%,16%,12%,9%,15%,11%,12%,10%,9%,10%,8%,5%
Other Income +,1,2,-10,27,8,33,9,9,19,15,9,16
Interest,3,10,23,25,36,51,65,86,89,98,114,136
Depreciation,5,9,17,22,27,33,33,28,31,37,38,41
Profit before tax,12,33,21,52,62,53,56,48,70,85,67,-3
Tax %,36%,33%,52%,58%,40%,45%,35%,38%,34%,34%,39%,-166%
Net Profit,8,22,10,22,37,30,37,30,54,56,41,-7
EPS in Rs,0.38,0.91,0.42,0.87,1.48,1.22,1.45,1.07,1.74,1.54,1.08,-0.15
