,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,775","2,001","2,048","2,201","2,282","2,502","2,452","2,299","2,199","2,083","1,117","1,500","1,716"
Expenses +,"1,442","1,713","1,762","1,888","2,021","2,164","2,150","1,933","2,204","1,935","1,236","1,473","1,701"
Operating Profit,333,289,286,313,261,338,302,366,-5,148,-119,28,15
OPM %,19%,14%,14%,14%,11%,14%,12%,16%,-0%,7%,-11%,2%,1%
Other Income +,33,73,91,162,162,141,226,289,191,-210,206,176,120
Interest,25,36,45,65,47,63,95,81,114,99,56,55,64
Depreciation,84,92,91,86,100,102,125,121,108,182,137,135,132
Profit before tax,257,234,240,324,275,314,308,452,-36,-344,-106,14,-61
Tax %,28%,27%,26%,28%,21%,26%,22%,21%,144%,1%,43%,-52%,
Net Profit,186,172,178,231,216,219,219,352,16,-345,-65,19,-141
EPS in Rs,7.70,7.04,7.13,8.92,7.73,7.45,7.32,13.20,-0.52,-14.86,-3.04,0.76,-5.53
