,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"15,939","16,758","17,950","18,520","20,008","21,445","22,882","24,620","26,220"
Expenses +,"13,560","14,285","14,719","15,071","15,457","16,531","17,538","19,205","19,848"
Operating Profit,"2,379","2,474","3,231","3,449","4,551","4,914","5,344","5,415","6,372"
OPM %,15%,15%,18%,19%,23%,23%,23%,22%,24%
Other Income +,"1,650","1,608","1,058",776,376,423,364,985,"1,164"
Interest,15,6,16,35,178,360,267,65,43
Depreciation,822,863,681,947,"1,025",999,"1,158","1,111","1,216"
Profit before tax,"3,191","3,213","3,592","3,243","3,725","3,979","4,283","5,225","6,277"
Tax %,25%,38%,27%,39%,37%,28%,24%,3%,
Net Profit,"2,399","2,004","2,625","1,990","2,328","2,883","3,246","5,080","5,880"
EPS in Rs,49.77,55.44,72.61,59.53,69.64,86.21,97.07,151.92,175.84
