,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"41,899","25,716","27,522","32,370","41,113","36,973","22,222","43,068","69,024"
Expenses +,"42,016","24,367","25,646","30,288","40,596","39,130","20,210","40,343","63,269"
Operating Profit,-117,"1,349","1,877","2,082",517,"-2,157","2,012","2,725","5,755"
OPM %,-0%,5%,7%,6%,1%,-6%,9%,6%,8%
Other Income +,25,56,62,52,67,45,127,33,33
Interest,405,353,274,322,421,415,376,413,347
Depreciation,229,274,279,340,453,468,466,504,539
Profit before tax,-727,778,"1,386","1,473",-290,"-2,995","1,296","1,841","4,902"
Tax %,95%,2%,24%,37%,29%,31%,80%,27%,
Net Profit,-33,762,"1,051",927,-205,"-2,056",257,"1,352","3,609"
EPS in Rs,-2.23,51.14,70.57,62.27,-13.79,-138.10,17.28,90.79,242.35
